sentence #,pattern,benefit_type,requirement_text,word,POS,tags
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,Includes,NNS,O
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,programs,NNS,O
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,such,JJ,O
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,as,IN,O
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,group,NN,B_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,exercise,NN,I_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,adult,NN,B_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,education,NN,I_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,classes,NNS,I_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,recreation,NN,U_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,nutritious,JJ,B_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,meals,NNS,I_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,and,CC,O
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,social,JJ,B_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,work,NN,I_INCLUSION
sentence 1,"Includes programs such as group exercise, adult education classes, recreation, nutritious meals, and social work services.",ADCS,Adult Day Care Services,services,NNS,I_INCLUSION
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,Coverage,NN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,is,VBZ,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,available,JJ,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,for,IN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,up,IN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,to,TO,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,one (1),VB,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,visit,NN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,per,IN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,week,NN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,for,IN,O
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,adult,JJ,B_INCLUSION
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,day,NN,I_INCLUSION
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,center,NN,I_INCLUSION
